S, J, Theta, Std_Theta, I, Std_I, m, Std_m, loglike_min, Theta_Ewens, loglike_Ewens, Theta2, Std_Theta2, I2, Std_I2, m2, Std_m2, loglike_min2
3,8,2.44894,2.85097,4.2285,6.43448,0.376586,0.357247,3.15074,1.25354,3.43337,2.44894,2.85097,4.2285,6.43448,0.376586,0.357247,3.15074
1,4,0.000546957,nan,0.4,nan,0.117647,nan,0.000285102,0.000546957,0.00100255,0.4,nan,0.000546957,nan,0.000182286,nan,0.000286376
5,26,7.53E+08,1.49E+11,1.55846,0.910212,0.0586802,0.0322609,5.26405,1.55847,5.26405,6.10E+08,1.03E+11,1.55846,0.910218,0.0586805,0.0322611,5.26405
2,6,1.28364,1.93562,2.10858,3.96167,0.296625,0.391997,1.78609,0.592117,1.96622,1.28364,1.93561,2.10859,3.96168,0.296625,0.391998,1.78609
4,15,5.34431,7.14409,2.64634,2.38755,0.158974,0.120626,3.75504,1.42783,3.86383,5.34431,7.1441,2.64634,2.38754,0.158974,0.120626,3.75504
3,17,1.71278,1.7348,2.97986,3.99799,0.157001,0.177572,4.28366,0.774109,4.62732,1.71278,1.73479,2.97986,3.998,0.157001,0.177573,4.28366
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
3,3,7.06E+09,2.68E+11,2.20E+09,nan,1,nan,-2.56E-08,996.299,0.00300863,7.27E+08,1.25E+11,2.34E+09,4.70E+11,1,1.72E-07,-4.32E-10
1,10,0.000353968,nan,1,nan,0.1,nan,0.000472363,0.000353968,0.00100127,1,nan,0.000353968,nan,3.93E-05,nan,0.000500575
3,3,7.06E+09,2.68E+11,2.20E+09,nan,1,nan,-2.56E-08,996.299,0.00300863,7.27E+08,1.25E+11,2.34E+09,4.70E+11,1,1.72E-07,-4.32E-10
2,2,1.85E+09,1.56E+11,5.76E+08,1.80E+11,1,5.41E-07,-3.96E-09,497.79,0.00200686,5.17E+08,1.17E+11,1.66E+09,2.04E+11,1,7.41E-08,-2.94E-09
2,26,2.43381,5.48274,0.48232,0.560055,0.0189276,0.0215622,2.83619,0.291645,2.89827,2.43381,5.48273,0.482321,0.560055,0.0189277,0.0215622,2.83619
